STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
39,3904486,Sycamore Community City School District,PK,12,39.2532948,-84.3560929,3904486,Contains non-reservation school,
39,3904487,Sylvania City School District,PK,12,41.6953634,-83.7142019,3904487,Contains non-reservation school,
39,3904488,Tallmadge City School District,PK,12,41.1033636,-81.4221916,3904488,Contains non-reservation school,
39,3904489,Tiffin City School District,PK,12,41.1275372,-83.135445,3904489,Contains non-reservation school,
39,3904490,Toledo City School District,PK,12,41.6518147,-83.6022233,3904490,Contains non-reservation school,
39,3904491,Toronto City School District,PK,12,40.4656204,-80.6155522,3904491,No School,
39,3904492,Troy City School District,PK,12,40.0465069,-84.2371802,3904492,Contains non-reservation school,
39,3904493,Upper Arlington City School District,PK,12,40.0265568,-83.0708921,3904493,Contains non-reservation school,
39,3904494,Urbana City School District,PK,12,40.0746254,-83.7256572,3904494,Contains non-reservation school,
39,3904495,Vandalia-Butler City School District,PK,12,39.883778,-84.225154,3904495,Contains non-reservation school,
39,3904498,Wapakoneta City School District,PK,12,40.5776947,-84.1546639,3904498,Contains non-reservation school,
39,3904499,Warren City School District,PK,12,41.2344031,-80.8208746,3904499,Contains non-reservation school,
39,3904500,Warrensville Heights City School District,PK,12,41.441272,-81.5188995,3904500,Contains non-reservation school,
39,3904502,Wellston City School District,PK,12,39.1124293,-82.5424087,3904502,Contains non-reservation school,
39,3904503,Wellsville Local School District,PK,12,40.6262121,-80.6594181,3904503,Contains non-reservation school,
39,3904504,Westerville City School District,PK,12,40.1175167,-82.9095168,3904504,Contains non-reservation school,
39,3904505,West Carrollton City School District,PK,12,39.6711944,-84.2376905,3904505,Contains non-reservation school,
39,3904506,Westlake City School District,PK,12,41.4495314,-81.9301623,3904506,Contains non-reservation school,
39,3904507,Whitehall City School District,PK,12,39.9689678,-82.8839478,3904507,Contains non-reservation school,
39,3904508,Wickliffe City School District,PK,12,41.6063221,-81.468028,3904508,Contains non-reservation school,
39,3904509,Willard City School District,PK,12,41.0646205,-82.7298275,3904509,Contains non-reservation school,
39,3904510,Willoughby-Eastlake City School District,PK,12,41.618624,-81.4352565,3904510,Contains non-reservation school,
39,3904511,Wilmington City School District,PK,12,39.4235412,-83.8097234,3904511,Contains non-reservation school,
39,3904513,Worthington City School District,PK,12,40.1104453,-83.021355,3904513,Contains non-reservation school,
39,3904514,Wyoming City School District,PK,12,39.2293711,-84.4812977,3904514,Contains non-reservation school,
39,3904515,Xenia Community City School District,PK,12,39.6534546,-83.9302904,3904515,Contains non-reservation school,
39,3904516,Youngstown City School District,PK,12,41.0979663,-80.6204229,3904516,Contains non-reservation school,
39,3904517,Zanesville City School District,PK,12,39.9475194,-81.9741643,3904517,Contains non-reservation school,
39,3904518,Ada Exempted Village School District,PK,12,40.7845072,-83.8333899,3904518,Contains non-reservation school,
39,3904519,Amherst Exempted Village School District,PK,12,41.3966776,-82.2167727,3904519,Contains non-reservation school,
39,3904520,Barnesville Exempted Village School District,PK,12,39.9954112,-81.1716597,3904520,No School,
39,3904521,Bluffton Exempted Village School District,PK,12,40.8654928,-83.9568103,3904521,No School,
39,3904522,Bradford Exempted Village School District,PK,12,40.1453717,-84.4415328,3904522,No School,
39,3904523,Bridgeport Exempted Village School District,PK,12,40.0833564,-80.7970212,3904523,Contains non-reservation school,
39,3904524,Harrison Hills City School District,PK,12,40.279831,-81.0788007,3904524,Contains non-reservation school,
39,3904525,Caldwell Exempted Village School District,PK,12,39.6834553,-81.5107994,3904525,Contains non-reservation school,
39,3904526,Carey Exempted Village School District,PK,12,40.9549665,-83.374879,3904526,No School,
39,3904527,Carrollton Exempted Village School District,PK,12,40.5669647,-81.0467763,3904527,Contains non-reservation school,
39,3904528,Chagrin Falls Exempted Village School District,PK,12,41.4269913,-81.382438,3904528,Contains non-reservation school,
